               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.022859,            0.067734,           0.0045283,             0.99591,                   1,               0.995,             0.82087,            0.019117,            0.072818,           0.0030251,            0.002179,            0.002179,            0.002179
                  81,            0.022346,            0.067839,             0.00445,             0.99671,             0.99998,               0.995,             0.81767,             0.01889,            0.072035,           0.0030053,             0.00208,             0.00208,             0.00208
                  82,            0.022318,            0.067944,           0.0044658,             0.99647,                   1,               0.995,             0.82042,             0.01903,            0.073376,           0.0030386,            0.001981,            0.001981,            0.001981
                  83,            0.021832,            0.066889,           0.0043519,             0.99621,             0.99999,               0.995,             0.83019,            0.018532,            0.073232,            0.003008,            0.001882,            0.001882,            0.001882
                  84,            0.022032,            0.066679,           0.0043342,             0.99642,                   1,               0.995,             0.82221,             0.01902,            0.073529,           0.0030331,            0.001783,            0.001783,            0.001783
                  85,             0.02191,            0.066903,           0.0043727,             0.99587,                   1,               0.995,             0.82841,            0.018256,            0.071834,           0.0029592,            0.001684,            0.001684,            0.001684
                  86,            0.021906,            0.066292,           0.0043834,             0.99633,                   1,               0.995,             0.82771,             0.01858,            0.071849,           0.0029546,            0.001585,            0.001585,            0.001585
                  87,             0.02163,            0.065023,           0.0042756,             0.99612,                   1,               0.995,             0.82588,            0.018829,             0.07275,           0.0029837,            0.001486,            0.001486,            0.001486
                  88,            0.021771,            0.066567,           0.0042016,             0.99611,                   1,               0.995,              0.8324,            0.018432,            0.072119,           0.0029423,            0.001387,            0.001387,            0.001387
                  89,            0.021488,            0.065406,           0.0041874,             0.99702,                   1,               0.995,             0.82772,            0.018711,             0.07219,           0.0029198,            0.001288,            0.001288,            0.001288
                  90,            0.021654,            0.065786,             0.00437,             0.99644,                   1,               0.995,             0.82436,            0.018691,            0.072419,           0.0029849,            0.001189,            0.001189,            0.001189
                  91,            0.021553,            0.066712,           0.0042811,             0.99679,             0.99999,               0.995,             0.83151,            0.018705,            0.071817,           0.0029078,             0.00109,             0.00109,             0.00109
                  92,            0.021289,             0.06524,           0.0041633,             0.99637,                   1,               0.995,             0.83356,            0.018188,            0.071322,           0.0029282,            0.000991,            0.000991,            0.000991
                  93,            0.021166,            0.066489,           0.0041442,             0.99728,             0.99999,               0.995,             0.83074,            0.018605,            0.071403,           0.0029959,            0.000892,            0.000892,            0.000892
                  94,            0.021398,            0.066184,           0.0042534,             0.99713,                   1,               0.995,             0.82044,            0.019144,            0.071567,            0.002938,            0.000793,            0.000793,            0.000793
                  95,            0.021752,             0.06564,           0.0044079,             0.99643,                   1,               0.995,             0.83222,            0.018715,            0.071572,           0.0029322,            0.000694,            0.000694,            0.000694
                  96,            0.021392,            0.065606,           0.0042515,             0.99649,                   1,               0.995,             0.83357,             0.01854,            0.071933,           0.0029334,            0.000595,            0.000595,            0.000595
                  97,            0.021135,            0.065716,           0.0041975,             0.99724,                   1,               0.995,             0.83182,            0.018476,            0.071964,           0.0029552,            0.000496,            0.000496,            0.000496
                  98,            0.021339,            0.065131,           0.0042142,             0.99676,             0.99998,               0.995,             0.83363,            0.018577,            0.071986,           0.0029639,            0.000397,            0.000397,            0.000397
                  99,            0.021313,            0.065579,           0.0042265,             0.99662,                   1,               0.995,             0.83038,            0.018455,            0.071704,           0.0029386,            0.000298,            0.000298,            0.000298
